Fetching data for NSE:DIXON-EQ from Mar 2025 to Dec 2025...
Total Fetched Candles: 25646

Running Backtest with Risk:Reward 1:8...

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
68    | 2025-05-07 14:03:00  | ENTER LONG      | 16074.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 39.00)
68    | 2025-05-07 14:18:00  | EXIT (SL)       | 16035.00   | -39.00     | SL Hit (Low 16028 <= SL 16035.00)
69    | 2025-05-07 14:27:00  | ENTER LONG      | 16054.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 22.00)
69    | 2025-05-07 14:54:00  | EXIT (SL)       | 16032.00   | -22.00     | SL Hit (Low 16013 <= SL 16032.00)
70    | 2025-05-08 09:15:00  | ENTER SHORT     | 16178.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 79.00)
70    | 2025-05-08 10:09:00  | EXIT (SL)       | 16257.00   | -79.00     | SL Hit (High 16275 >= SL 16257.00)
71    | 2025-05-08 10:45:00  | ENTER SHORT     | 16213.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 77.00)
71    | 2025-05-08 15:00:00  | EXIT (Square Off) | 15650.00   | 563.00     | Auto Square Off at 15:00
72    | 2025-05-09 09:15:00  | ENTER LONG      | 15450.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 299.00)
72    | 2025-05-09 09:57:00  | EXIT (SL)       | 15151.00   | -299.00    | SL Hit (Low 15134 <= SL 15151.00)
73    | 2025-05-09 11:30:00  | ENTER LONG      | 15280.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 112.00)
73    | 2025-05-09 11:36:00  | EXIT (SL)       | 15168.00   | -112.00    | SL Hit (Low 15150 <= SL 15168.00)
74    | 2025-05-12 09:15:00  | ENTER SHORT     | 15871.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 279.00)
74    | 2025-05-12 09:30:00  | EXIT (SL)       | 16150.00   | -279.00    | SL Hit (High 16186 >= SL 16150.00)
75    | 2025-05-12 12:39:00  | ENTER SHORT     | 16029.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 141.00)
75    | 2025-05-12 15:00:00  | EXIT (Square Off) | 16050.00   | -21.00     | Auto Square Off at 15:00
76    | 2025-05-13 09:27:00  | ENTER SHORT     | 16360.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 50.00)
76    | 2025-05-13 09:36:00  | EXIT (SL)       | 16410.00   | -50.00     | SL Hit (High 16425 >= SL 16410.00)
77    | 2025-05-13 10:09:00  | ENTER LONG      | 16354.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 26.00)
77    | 2025-05-13 10:30:00  | EXIT (SL)       | 16328.00   | -26.00     | SL Hit (Low 16301 <= SL 16328.00)
78    | 2025-05-13 10:33:00  | ENTER LONG      | 16367.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 31.00)
78    | 2025-05-13 12:33:00  | EXIT (SL)       | 16336.00   | -31.00     | SL Hit (Low 16330 <= SL 16336.00)
79    | 2025-05-14 09:18:00  | ENTER LONG      | 16303.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 128.00)
79    | 2025-05-14 10:57:00  | EXIT (SL)       | 16175.00   | -128.00    | SL Hit (Low 16173 <= SL 16175.00)
80    | 2025-05-15 09:15:00  | ENTER LONG      | 16229.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 67.00)
80    | 2025-05-15 09:18:00  | EXIT (SL)       | 16162.00   | -67.00     | SL Hit (Low 16131 <= SL 16162.00)
81    | 2025-05-15 09:54:00  | ENTER LONG      | 16183.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 32.00)
81    | 2025-05-15 09:57:00  | EXIT (SL)       | 16151.00   | -32.00     | SL Hit (Low 16116 <= SL 16151.00)
82    | 2025-05-15 10:42:00  | ENTER LONG      | 16172.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 32.00)
82    | 2025-05-15 11:12:00  | EXIT (SL)       | 16140.00   | -32.00     | SL Hit (Low 16130 <= SL 16140.00)
83    | 2025-05-15 11:15:00  | ENTER LONG      | 16168.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 31.00)
83    | 2025-05-15 11:21:00  | EXIT (SL)       | 16137.00   | -31.00     | SL Hit (Low 16127 <= SL 16137.00)
84    | 2025-05-15 13:33:00  | ENTER LONG      | 16124.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 8.00)
84    | 2025-05-15 13:45:00  | EXIT (Target)   | 16188.00   | 64.00      | Target Hit (High 16200 >= Tgt 16188.00)
85    | 2025-05-16 09:57:00  | ENTER SHORT     | 16532.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 53.00)
85    | 2025-05-16 11:57:00  | EXIT (SL)       | 16585.00   | -53.00     | SL Hit (High 16589 >= SL 16585.00)
86    | 2025-05-16 12:54:00  | ENTER SHORT     | 16529.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 15.00)
86    | 2025-05-16 13:06:00  | EXIT (SL)       | 16544.00   | -15.00     | SL Hit (High 16545 >= SL 16544.00)
