Fetching data for NSE:DIXON-EQ from Oct 1, 2025 to Nov 30, 2025...
Fetching 2025-10-01 to 2025-10-31...
  Fetched 2521 candles.
Fetching 2025-11-01 to 2025-11-30...
  Fetched 2375 candles.
Total Fetched Candles: 4896

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
180   | 2025-11-06 09:18:00  | ENTER LONG      | 15296.00   | 0.00       | Reversal Entry (Close 15296 > VWAP 15257.24)
180   | 2025-11-06 10:09:00  | EXIT (SL)       | 15155.00   | -141.00    | SL Hit (Close 15155 <= SL 15280.20)
181   | 2025-11-06 10:09:00  | ENTER SHORT     | 15155.00   | 0.00       | SL Reversal Entry
181   | 2025-11-06 15:00:00  | EXIT (Square Off) | 15070.00   | 85.00      | Auto Square Off at 15:00:00
182   | 2025-11-07 09:15:00  | ENTER SHORT     | 14870.00   | 0.00       | Fresh Entry (Close 14870 < VWAP 14907.00)
182   | 2025-11-07 09:36:00  | EXIT (SL)       | 14820.00   | 50.00      | SL Hit (Close 14820 >= SL 14802.14)
183   | 2025-11-07 09:36:00  | ENTER LONG      | 14820.00   | 0.00       | SL Reversal Entry
183   | 2025-11-07 09:54:00  | EXIT (SL)       | 14815.00   | -5.00      | SL Hit (Close 14815 <= SL 14816.27)
184   | 2025-11-07 09:54:00  | ENTER SHORT     | 14815.00   | 0.00       | SL Reversal Entry
184   | 2025-11-07 09:57:00  | EXIT (Reversal) | 14817.00   | -2.00      | Reversed to LONG
185   | 2025-11-07 09:57:00  | ENTER LONG      | 14817.00   | 0.00       | Reversal Entry (Close 14817 > VWAP 14816.17)
185   | 2025-11-07 10:00:00  | EXIT (Reversal) | 14810.00   | -7.00      | Reversed to SHORT
186   | 2025-11-07 10:00:00  | ENTER SHORT     | 14810.00   | 0.00       | Reversal Entry (Close 14810 < VWAP 14816.05)
186   | 2025-11-07 10:06:00  | EXIT (SL)       | 14866.00   | -56.00     | SL Hit (Close 14866 >= SL 14818.00)
187   | 2025-11-07 10:06:00  | ENTER LONG      | 14866.00   | 0.00       | SL Reversal Entry
187   | 2025-11-07 11:03:00  | EXIT (SL)       | 14820.00   | -46.00     | SL Hit (Close 14820 <= SL 14831.02)
188   | 2025-11-07 11:03:00  | ENTER SHORT     | 14820.00   | 0.00       | SL Reversal Entry
188   | 2025-11-07 11:12:00  | EXIT (Reversal) | 14841.00   | -21.00     | Reversed to LONG
189   | 2025-11-07 11:12:00  | ENTER LONG      | 14841.00   | 0.00       | Reversal Entry (Close 14841 > VWAP 14830.81)
189   | 2025-11-07 11:18:00  | EXIT (SL)       | 14812.00   | -29.00     | SL Hit (Close 14812 <= SL 14818.00)
190   | 2025-11-07 11:18:00  | ENTER SHORT     | 14812.00   | 0.00       | SL Reversal Entry
190   | 2025-11-07 11:27:00  | EXIT (Reversal) | 14831.00   | -19.00     | Reversed to LONG
191   | 2025-11-07 11:27:00  | ENTER LONG      | 14831.00   | 0.00       | Reversal Entry (Close 14831 > VWAP 14830.01)
191   | 2025-11-07 11:30:00  | EXIT (Reversal) | 14828.00   | -3.00      | Reversed to SHORT
192   | 2025-11-07 11:30:00  | ENTER SHORT     | 14828.00   | 0.00       | Reversal Entry (Close 14828 < VWAP 14830.06)
192   | 2025-11-07 12:18:00  | EXIT (SL)       | 14825.00   | 3.00       | SL Hit (Close 14825 >= SL 14814.98)
193   | 2025-11-07 12:18:00  | ENTER LONG      | 14825.00   | 0.00       | SL Reversal Entry
193   | 2025-11-07 15:00:00  | EXIT (Square Off) | 14889.00   | 64.00      | Auto Square Off at 15:00:00
194   | 2025-11-10 09:15:00  | ENTER SHORT     | 14823.00   | 0.00       | Fresh Entry (Close 14823 < VWAP 14826.00)
194   | 2025-11-10 09:30:00  | EXIT (Reversal) | 14812.00   | 11.00      | Reversed to LONG
195   | 2025-11-10 09:30:00  | ENTER LONG      | 14812.00   | 0.00       | Reversal Entry (Close 14812 > VWAP 14805.84)
195   | 2025-11-10 09:42:00  | EXIT (SL)       | 14765.00   | -47.00     | SL Hit (Close 14765 <= SL 14790.00)
196   | 2025-11-10 09:42:00  | ENTER SHORT     | 14765.00   | 0.00       | SL Reversal Entry
196   | 2025-11-10 10:18:00  | EXIT (SL)       | 14799.00   | -34.00     | SL Hit (Close 14799 >= SL 14785.47)
197   | 2025-11-10 10:18:00  | ENTER LONG      | 14799.00   | 0.00       | SL Reversal Entry
197   | 2025-11-10 10:24:00  | EXIT (Reversal) | 14785.00   | -14.00     | Reversed to SHORT
198   | 2025-11-10 10:24:00  | ENTER SHORT     | 14785.00   | 0.00       | Reversal Entry (Close 14785 < VWAP 14786.04)
198   | 2025-11-10 10:27:00  | EXIT (SL)       | 14812.00   | -27.00     | SL Hit (Close 14812 >= SL 14806.00)
199   | 2025-11-10 10:27:00  | ENTER LONG      | 14812.00   | 0.00       | SL Reversal Entry
